id	region_id	timestamp	type	participants	vehicles	victims	fatalities	city	street	house	road	km	m	places	problems	reasons
171477326	80512	2015-06-04 23:15:00	Столкновение	3	2	2	0	г Волгоград	ул Череповецкая	58				Регулируемый пешеходный переход; Регулируемый перекресток		Водитель: Неправильный выбор дистанции
171035254	80512	2015-06-03 13:00:00	Наезд на пешехода	4	3	1	0	г Волгоград	пр-кт Университетский	80				Нерегулируемый пешеходный переход		Водитель: Другие нарушения ПДД водителем
170836641	80512	2015-06-03 08:30:00	Опрокидывание	2	1	1	0	г Волгоград	ул им Николая Отрады	0				Перегон (нет объектов на месте ДТП)		Водитель: Другие нарушения ПДД водителем
170829155	80512	2015-06-03 01:20:00	Столкновение	3	2	1	0	г Волгоград	пр-кт им В.И.Ленина	197 А				Нерегулируемый перекрёсток неравнозначных улиц (дорог)		Водитель: Неправильный выбор дистанции
176970393	80512	2015-06-03 09:00:00	Столкновение	2	2	1	0	г Волгоград	ул им Землячки	74				Перегон (нет объектов на месте ДТП)		Водитель: Неправильный выбор дистанции
171030773	80512	2015-06-03 22:00:00	Наезд на пешехода	2	1	1	0	г Волгоград	ул им Дзержинского	24				Внутридворовая территория		Водитель: Другие нарушения ПДД водителем
171761312	80512	2015-06-03 20:15:00	Наезд на пешехода	2	1	1	0	п Горная Поляна	ул им Григория Засекина	53				Перегон (нет объектов на месте ДТП)		Пешеход: Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка)
170837680	80512	2015-06-03 11:20:00	Наезд на пешехода	2	1	1	0	г Волгоград	ул Республиканская	24				Внутридворовая территория		Водитель: Несоблюдение условий, разрешающих движение транспорта задним ходом
171030775	80512	2015-06-03 14:20:00	Наезд на пешехода	2	1	1	0	г Волгоград	ул им Александрова	95				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Пешеход: Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода
170720128	80512	2015-06-02 21:20:00	Наезд на пешехода	2	1	0	1	г Волгоград	ул им Рокоссовского	60				Перегон (нет объектов на месте ДТП)		Пешеход: Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка)
170831267	80512	2015-06-01 22:40:00	Наезд на пешехода	2	1	1	0	г Волгоград	пр-кт им В.И.Ленина	1б				Нерегулируемый пешеходный переход		Водитель: Нарушение правил проезда пешеходного перехода
170642563	80512	2015-06-01 12:35:00	Наезд на препятствие	2	1	1	1	г Волгоград	ул им Землячки	60				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Другие нарушения ПДД водителем
193740751	80512	2016-05-31 20:00:00	Столкновение	3	3	1	0	г Волгоград	ул Казахская	00				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Нарушение правил обгона
194151277	80512	2016-05-31 08:10:00	Столкновение	2	2	1	0	г Волгоград	ш Авиаторов	2Г				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Другие нарушения ПДД водителем
193872600	80512	2016-05-31 01:15:00	Наезд на препятствие	2	1	1	0	г Волгоград	ул Профсоюзная	19				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Другие нарушения ПДД водителем
193740754	80512	2016-05-31 18:15:00	Наезд на пешехода	3	1	2	0	г Волгоград	ул им Ольги Форш	3				Внутридворовая территория		Водитель: Несоблюдение условий, разрешающих движение транспорта задним ходом
193746167	80512	2016-05-31 12:00:00	Наезд на препятствие	1	1	1	0	г Волгоград	пр-кт им В.И.Ленина	201				Перегон (нет объектов на месте ДТП)	Отсутствие дорожных знаков в необходимых местах	Водитель: Нарушение правил расположения ТС на проезжей части
193698448	80512	2016-05-30 09:10:00	Столкновение	2	2	2	0	г Волгоград	ул им Землячки	67				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Выезд на полосу встречного движения
193676505	80512	2016-05-30 20:00:00	Столкновение	4	2	2	0	г Волгоград	ул Невская	13				Регулируемый перекресток	Отсутствие, плохая различимость горизонтальной разметки проезжей части; Неправильное применение, плохая видимость дорожных знаков; Отсутствие пешеходных ограждений в необходимых местах	Водитель: Несоблюдение очередности проезда
193747751	80512	2016-05-29 17:00:00	Столкновение	2	2	1	0	г Волгоград	пр-кт им В.И.Ленина	114				Перегон (нет объектов на месте ДТП)		Водитель: Нарушение правил перестроения
193594540	80512	2016-05-29 16:30:00	Опрокидывание	1	1	0	1	г Волгоград	ул 40 лет ВЛКСМ	0				Перегон (нет объектов на месте ДТП)	Дефекты покрытия	Водитель: Другие нарушения ПДД водителем
193592005	80512	2016-05-29 23:10:00	Наезд на препятствие	2	1	2	0	г Волгоград	ул Новороссийская	5				Перегон (нет объектов на месте ДТП)		Водитель: Другие нарушения ПДД водителем
193747266	80512	2016-05-29 18:00:00	Наезд на пешехода	2	1	1	0	г Волгоград	снт Сластена	10				Перегон (нет объектов на месте ДТП)	Дефекты покрытия; Неудовлетворительное состояние обочин	Пешеход: Неожиданный выход из-за стоящего ТС
193595699	80512	2016-05-29 01:50:00	Столкновение	3	2	2	0	г Волгоград	ул Кооперативная	0				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Выезд на полосу встречного движения
193704596	80512	2016-05-28 16:40:00	Столкновение	4	2	3	0	г Волгоград	ул Продольная	80				Нерегулируемый перекрёсток неравнозначных улиц (дорог)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	
